iter	Logloss
0	0.6928669323
1	0.6926270425
2	0.6924207222
3	0.6922499843
4	0.6921075604
5	0.6919871194
6	0.6918851902
7	0.6917941857
8	0.6917170976
9	0.6916543193
10	0.6915863355
11	0.6915019033
12	0.691447596
13	0.6913828578
14	0.6913435054
15	0.6913121607
16	0.6912539471
17	0.6912226457
18	0.691185532
19	0.6911623684
20	0.6911214917
21	0.6910970743
22	0.6910714366
23	0.6910493266
24	0.6910155033
25	0.6909797518
26	0.6909636386
27	0.6909422909
28	0.6909265464
29	0.6908860635
30	0.6908625262
31	0.6908491944
32	0.6908209946
33	0.690804547
34	0.690785391
35	0.690766875
36	0.6907434856
37	0.6907252264
38	0.6907003038
39	0.6906705045
40	0.6906550085
41	0.6906344222
42	0.6906194129
43	0.6905823103
44	0.6905667774
45	0.6905487804
46	0.6905299264
47	0.6905115052
48	0.6904830897
49	0.6904564854
50	0.6904364757
51	0.6904189855
52	0.690401689
53	0.6903781683
54	0.690349106
55	0.6903113727
56	0.6902894269
57	0.6902663302
58	0.6902479942
59	0.6902269353
60	0.6902000567
61	0.6901924391
62	0.6901819672
63	0.6901696544
64	0.6901503082
65	0.6901243285
66	0.6901093406
67	0.6900851194
68	0.6900663833
69	0.6900499518
70	0.6900312547
71	0.6900138839
72	0.6899959095
73	0.6899763983
74	0.6899464597
75	0.6899228879
76	0.6898969032
77	0.6898834854
78	0.6898645256
79	0.6898439309
80	0.6898306676
81	0.6898216486
82	0.6897971418
83	0.6897783658
84	0.6897555153
85	0.689734121
86	0.6897125952
87	0.6896895257
88	0.689674189
89	0.6896560746
90	0.6896429615
91	0.6896194521
92	0.6896092959
93	0.689599748
94	0.6895902061
95	0.6895688281
96	0.6895539144
97	0.689529534
98	0.6895104095
99	0.6894977126
